Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc409,0,0,0,0,1,0,0,0,9,0.014324809
doc7111,0,1,0,0,0,0,0,0,9,0.022971105
doc12709,0,1,0,0,0,0,0,0,16,0.023569852
doc830,0,0,0,0,0,0,1,0,21,0.025587176
doc5279,0,1,0,0,0,0,0,0,15,0.028365547
doc3622,0,0,0,0,0.053669761,0.89174365,0,0.054586589,27,0.030629852
doc1065,0,1,0,0,0,0,0,0,11,0.032152539
doc10890,0,1,0,0,0,0,0,0,10,0.039509491
doc5116,0,1,0,0,0,0,0,0,6,0.040453034
doc5220,0,0.486884203,0,0,0,0,0,0.513115797,2,0.041809721
doc9178,0,0,0,0,0.234352154,0.527292308,0,0.238355539,25,0.042416537
doc3623,0,0,0.366978172,0,0.156459369,0.476562459,0,0,30,0.043647823
doc8725,0,1,0,0,0,0,0,0,16,0.043925418
doc11350,0,1,0,0,0,0,0,0,4,0.045762871
doc10054,0,1,0,0,0,0,0,0,3,0.049306948
doc4771,0,1,0,0,0,0,0,0,3,0.049306948
doc11695,0,0,0,0,0,1,0,0,23,0.051963372
doc4760,0,0,0,0,0,0,1,0,11,0.052158427
doc8786,0,1,0,0,0,0,0,0,20,0.052720799
doc8324,0,0,0,0,0,0,1,0,18,0.053555033
doc3113,0,0,0.872642716,0,0.127357284,0,0,0,24,0.053759159
doc1173,0,1,0,0,0,0,0,0,29,0.054205955
doc13109,0,0.061816441,0,0,0.938183559,0,0,0,9,0.054683292
doc540,0,1,0,0,0,0,0,0,34,0.05739319
doc7673,0,1,0,0,0,0,0,0,5,0.058216888
doc1514,0,0.796699989,0,0,0,0.203300011,0,0,23,0.058632521
doc6055,0,0,0,0,0,1,0,0,23,0.058678131
doc3248,0,1,0,0,0,0,0,0,16,0.059520368
doc3458,0,0,0,1,0,0,0,0,15,0.059776636
doc7697,0,0,0,0,0,1,0,0,20,0.060166296
doc10384,0,0,0,0,0,0,0,1,21,0.06074636
doc12300,0,0.443005019,0,0,0,0.556994981,0,0,7,0.060766545
doc9187,0,1,0,0,0,0,0,0,34,0.06100269
doc375,0,0,0.831168833,0,0,0,0,0.168831167,29,0.061268405
doc9918,0,1,0,0,0,0,0,0,24,0.061465942
doc10461,0,0,0,0,0,1,0,0,23,0.06178117
doc755,0,1,0,0,0,0,0,0,3,0.061940286
doc5041,0,1,0,0,0,0,0,0,12,0.062970697
doc11598,0,0,1,0,0,0,0,0,8,0.063729655
doc1072,0,0,0.204596487,0,0.712271016,0.083132497,0,0,9,0.064080975
doc2465,0,0,0,0,1,0,0,0,23,0.065148321
doc3748,0,0,0,1,0,0,0,0,30,0.065151195
doc13268,0,1,0,0,0,0,0,0,12,0.065583697
doc566,0,1,0,0,0,0,0,0,8,0.066778875
doc7968,0,0,0,0,1,0,0,0,3,0.06731663
doc10819,0,0,0,0,1,0,0,0,9,0.067487174
doc12536,0,1,0,0,0,0,0,0,4,0.067635847
doc6004,0,1,0,0,0,0,0,0,2,0.068691442
doc6106,0,0.043303641,0,0,0,0.956696359,0,0,5,0.068706627
doc10278,0,1,0,0,0,0,0,0,5,0.068995524
doc9707,0,0,0,0,0,0,1,0,24,0.069105999
doc32,0,1,0,0,0,0,0,0,2,0.069172208
doc2082,0,0.378042601,0,0,0,0.621957399,0,0,16,0.070935031
doc3728,0,0,0,0,0,1,0,0,3,0.071340105
doc9229,0,1,0,0,0,0,0,0,2,0.071555406
