label,replace by
age,aging
cardiovascular diseases,cardiovascular disease
circadian rhythms,circadian rhythm
circadian,circadian rhythm
climate change adaptation,climate adaptation
core body temperature,core temperature
extreme temperatures,extreme temperature
heart rate variability,heart rate
heat waves,heat wave
heatwave,heat wave
heatwaves,heat wave
heatstroke,heat stroke
hot temperature,hot environment
human thermal comfort,thermal comfort
human health,health
physiological responses,physiological response
respiratory diseases,respiratory disease
hospital admissions,hospital admission
