keyword,total link strength
acute kidney injury,11
acute myocardial infarction,17
adaptive behavior,6
adaptive behaviour,8
adaptive capacity,15
adaptive model,8
alertness,23
all-cause mortality,7
allergic rhinitis,12
allergy,15
ambulance,7
anxiety,19
asthma,63
athletic performance,9
athletics,7
attention,14
autonomic nervous system,14
bacillary dysentery,21
behavior,15
biological clock,7
birth weight,7
blood flow,21
blood lactate,6
blood pressure,83
body composition,13
body core temperature,10
body fat,11
body mass index,9
body temperature,168
body temperature regulation,34
body temperatures,8
brain blood flow,7
c-reactive protein,10
cancer,8
cardiac output,11
cardiovascular,40
cardiovascular disease,77
cardiovascular diseases,39
cardiovascular mortality,23
cardiovascular strain,17
cardiovascular system,7
catecholamines,13
central fatigue,7
cerebral blood flow,12
chronic disease,17
chronic kidney disease,9
chronic obstructive pulmonary disease,12
chronotype,33
circadian,44
circadian clock,14
circadian phase,9
circadian rhythm,141
circadian rhythms,99
civd,13
clothing,54
clothing insulation,12
cognition,21
cognitive function,17
cognitive performance,70
cold injury,11
cold-induced vasodilation,7
comfort,55
copd,10
core body temperature,65
core temperature,222
coronary heart disease,11
corticosterone,7
cortisol,31
cough,8
cutaneous vasodilation,8
cytokines,20
death,8
dehydration,92
dementia,18
depression,25
diabetes,16
diabetes mellitus,10
diarrhea,12
diarrhoea,12
discomfort,8
disease,8
diseases,7
emergency department,20
emergency department visits,27
emergency medical services,10
emergency room visits,7
emotion,10
endurance,25
endurance exercise,9
esophageal temperature,6
excess mortality,10
exercise,249
exercise intensity,8
exercise performance,10
exercise physiology,8
exertional heat illness,33
exertional heat stress,9
exertional heat stroke,25
fatigue,98
fever,21
fitness,11
frostbite,18
growth hormone,7
health,166
heart rate,162
heart rate variability,23
heat acclimation,41
heat acclimatization,17
heat adaptation,19
heat exhaustion,27
heat illness,81
heat illnesses,6
heat mortality,8
heat stress disorders,21
heat stroke,80
heat tolerance,21
heat-related illness,55
heat-related mortality,37
heatstroke,29
hormones,13
hospital,10
hospital admission,34
hospital admissions,45
hospitalization,44
hospitalizations,7
hospitals,7
human circadian rhythms,8
human health,58
human mortality,10
human performance,10
human thermoregulation,8
hypertension,23
hyperthermia,191
hypohydration,27
hypothermia,67
i-fabp,7
immune function,10
infectious diarrhea,9
inflammation,42
influenza,8
injury,15
insomnia,10
interleukin-6,8
intermittent exercise,19
ischemic stroke,14
labor productivity,10
local skin temperature,8
locomotor activity,15
low back pain,9
lung function,8
mean skin temperature,13
melatonin,111
memory,5
mental disorders,8
mental health,47
metabolic heat production,13
metabolic rate,60
metabolism,25
mood,28
morbidity,71
mortality,491
mortality risk,8
muscle,10
muscle damage,15
muscle fatigue,8
muscle soreness,7
muscle strength,9
muscle temperature,15
myocardial infarction,17
neck pain,8
neonatal mortality,8
norepinephrine,10
obesity,17
occupant behavior,17
occupant behaviour,15
occupant satisfaction,23
occupational health,72
occupational health and safety,7
osteoarthritis,14
outpatient visits,17
pain,26
perceived air quality,20
perceived exertion,13
perceived temperature,7
perception,35
perceptions,15
perceptual responses,10
perceptual strain,7
perceptual strain index,7
performance,128
physical activity,65
physical exercise,11
physical exertion,12
physical fitness,6
physical performance,14
pneumonia,20
preterm birth,30
productivity,65
proprioception,7
reaction time,12
recovery,60
rectal temperature,91
rehabilitation,22
respiratory,18
respiratory disease,31
respiratory diseases,37
respiratory mortality,11
respiratory symptoms,9
rheumatoid arthritis,9
satisfaction,16
sbs symptoms,9
schizophrenia,18
sick building syndrome,22
skin blood flow,80
skin temperature,207
skin temperatures,10
sleep,136
sleep deprivation,23
sleep homeostasis,6
sleep loss,8
sleep quality,47
sleepiness,26
sport,12
sports,10
sports medicine,7
stillbirth,10
stress,30
stroke,43
subjective perception,7
suicide,18
swimming,10
sympathetic nervous system,12
task performance,8
team sport,8
temperature regulation,44
thermal adaptation,50
thermal discomfort,20
thermal perception,39
thermal pleasure,7
thermal preference,7
thermal sensation,205
thermal sensation vote,13
thermoregulation,398
thermoregulatory behavior,7
training,12
tympanic temperature,15
vasoconstriction,22
vasodilation,10
vigilance,12
work capacity,7
work performance,16
workload,14
wrist temperature,7
