Theme,Topic,total link strength
absence of mental illness,anxiety,19
absence of mental illness,autonomic nervous system,14
absence of mental illness,blood flow,21
absence of mental illness,blood lactate,6
absence of mental illness,blood pressure,83
absence of mental illness,body core temperature,10
absence of mental illness,body temperature,168
absence of mental illness,body temperature regulation,34
absence of mental illness,body temperatures,8
absence of mental illness,cardiac output,11
absence of mental illness,cardiovascular system,7
absence of mental illness,catecholamines,13
absence of mental illness,circadian,44
absence of mental illness,circadian clock,14
absence of mental illness,circadian phase,9
absence of mental illness,circadian rhythm,141
absence of mental illness,circadian rhythms,99
absence of mental illness,core body temperature,65
absence of mental illness,core temperature,222
absence of mental illness,corticosterone,7
absence of mental illness,cortisol,31
absence of mental illness,cutaneous vasodilation,8
absence of mental illness,depression,25
absence of mental illness,esophageal temperature,6
absence of mental illness,health,166
absence of mental illness,heart rate,162
absence of mental illness,heart rate variability,23
absence of mental illness,hormones,13
absence of mental illness,human circadian rhythms,8
absence of mental illness,human health,58
absence of mental illness,mental disorders,8
absence of mental illness,mental health,47
absence of mental illness,metabolic heat production,13
absence of mental illness,metabolic rate,60
absence of mental illness,norepinephrine,10
absence of mental illness,rectal temperature,91
absence of mental illness,schizophrenia,18
absence of mental illness,skin blood flow,80
absence of mental illness,skin temperature,207
absence of mental illness,skin temperatures,10
absence of mental illness,suicide,18
absence of mental illness,sympathetic nervous system,12
absence of mental illness,tympanic temperature,15
absence of mental illness,wrist temperature,7
absence of physical illness,acute kidney injury,11
absence of physical illness,acute myocardial infarction,17
absence of physical illness,all-cause mortality,7
absence of physical illness,allergic rhinitis,12
absence of physical illness,allergy,15
absence of physical illness,ambulance,7
absence of physical illness,asthma,63
absence of physical illness,autonomic nervous system,14
absence of physical illness,bacillary dysentery,21
absence of physical illness,blood flow,21
absence of physical illness,blood lactate,6
absence of physical illness,blood pressure,83
absence of physical illness,body core temperature,10
absence of physical illness,body temperature,168
absence of physical illness,body temperature regulation,34
absence of physical illness,body temperatures,8
absence of physical illness,c-reactive protein,10
absence of physical illness,cancer,8
absence of physical illness,cardiac output,11
absence of physical illness,cardiovascular,40
absence of physical illness,cardiovascular disease,77
absence of physical illness,cardiovascular diseases,39
absence of physical illness,cardiovascular mortality,23
absence of physical illness,cardiovascular strain,17
absence of physical illness,cardiovascular system,7
absence of physical illness,catecholamines,13
absence of physical illness,chronic disease,17
absence of physical illness,chronic kidney disease,9
absence of physical illness,chronic obstructive pulmonary disease,12
absence of physical illness,circadian,44
absence of physical illness,circadian clock,14
absence of physical illness,circadian phase,9
absence of physical illness,circadian rhythm,141
absence of physical illness,circadian rhythms,99
absence of physical illness,civd,13
absence of physical illness,cold injury,11
absence of physical illness,copd,10
absence of physical illness,core body temperature,65
absence of physical illness,core temperature,222
absence of physical illness,coronary heart disease,11
absence of physical illness,corticosterone,7
absence of physical illness,cortisol,31
absence of physical illness,cough,8
